imdb_title_id,original_title,year,genre,duration,country
tt0000009,Miss Jerry,1894,Romance,45,USA
tt0000574,The Story of the Kelly Gang,1906,"Biography, Crime, Drama",70,Australia
tt0001892,Den sorte drøm,1911,Drama,53,"Germany, Denmark"
tt0002101,Cleopatra,1912,"Drama, History",100,USA
tt0002130,L'Inferno,1911,"Adventure, Drama, Fantasy",68,Italy
tt0002199,"From the Manger to the Cross; or, Jesus of Nazareth",1912,"Biography, Drama",60,USA
tt0002423,Madame DuBarry,1919,"Biography, Drama, Romance",85,Germany
tt0002445,Quo Vadis?,1913,"Drama, History",120,Italy
tt0002452,Independenta Romaniei,1912,"History, War",120,Romania
tt0002461,Richard III,1912,Drama,55,"France, USA"
tt0002646,Atlantis,1913,Drama,121,Denmark
tt0002844,Fantômas - À l'ombre de la guillotine,1913,"Crime, Drama",54,France
tt0003014,Ingeborg Holm,1913,Drama,96,Sweden
tt0003037,Juve contre Fantômas,1913,"Crime, Drama",61,France
tt0003102,Ma l'amor mio non muore...,1914,Drama,90,Italy
tt0003131,Maudite soit la guerre,1914,"Drama, War",50,Belgium
tt0003165,Le mort qui tue,1913,"Crime, Drama, Mystery",90,France
tt0003167,"Home, Sweet Home",1914,Drama,55,USA
tt0003419,Der Student von Prag,1913,"Drama, Fantasy, Horror",85,Germany
tt0003471,Traffic in Souls,1913,"Crime, Drama",88,USA
tt0003489,Gli ultimi giorni di Pompei,1913,"Adventure, Drama",88,Italy
tt0003637,Assunta Spina,1915,Drama,72,Italy
tt0003643,The Avenging Conscience: or 'Thou Shalt Not Kill',1914,"Crime, Drama, Horror",78,USA
tt0003657,The Bargain,1914,Western,70,USA
tt0003740,Cabiria,1914,"Adventure, Drama, History",148,Italy
tt0003772,Cinderella,1990,"Fantasy, Drama",52,USA
tt0003883,L'enfant de Paris,1913,"Crime, Drama",124,France
tt0003930,Fantômas contre Fantômas,1914,"Crime, Drama",59,France
tt0003973,A Florida Enchantment,1914,Comedy,63,USA
tt0004026,Der Golem,1990,Horror,60,Germany
tt0004066,Det hemmelighedsfulde X,1914,"Drama, Mystery",84,Denmark
tt0004099,"His Majesty, the Scarecrow of Oz",1914,"Family, Fantasy, Adventure",59,USA
tt0004134,Hypocrites,1990,Drama,54,USA
tt0004150,In the Land of the Head Hunters,1914,"Drama, History",65,"USA, Canada"
tt0004181,Judith of Bethulia,1914,Drama,61,USA
tt0004457,The Patchwork Girl of Oz,1914,"Adventure, Family, Fantasy",81,USA
tt0004465,The Perils of Pauline,1914,"Action, Adventure, Drama",199,USA
tt0004635,The Squaw Man,1914,"Action, Drama, Romance",74,USA
tt0004681,Tess of the Storm Country,1914,Drama,80,USA
tt0004707,Tillie's Punctured Romance,1914,Comedy,82,USA
tt0004712,A tolonc,1915,Drama,67,Hungary
tt0004743,Uncle Tom's Cabin,1914,Drama,54,USA
tt0004766,The Virginian,1914,Western,55,USA
tt0004825,The Wishing Ring: An Idyll of Old England,1914,"Comedy, Drama",54,USA
tt0004838,The Wrath of the Gods,1914,"Drama, Romance",56,USA
tt0004872,Alias Jimmy Valentine,1915,"Crime, Drama",65,USA
tt0004873,Alice in Wonderland,1990,"Adventure, Family, Fantasy",52,USA
tt0004972,The Birth of a Nation,1915,"Drama, History, War",195,USA
tt0005060,Carmen,1915,Drama,59,USA
tt0005078,The Cheat,1915,"Drama, Romance",59,USA
tt0005149,The Coward,1990,"Drama, History, War",77,USA
tt0005339,A Fool There Was,1915,Drama,67,USA
tt0005402,The Golden Chance,1915,Drama,74,USA
tt0005529,Hævnens Nat,1916,"Crime, Drama, Horror",100,Denmark
tt0005557,The Italian,1915,Drama,72,USA
tt0005680,Maciste,1915,Adventure,67,Italy
tt0005719,Martyrs of the Alamo,1915,"Drama, History, War",71,USA
tt0005809,The Nigger,1915,Drama,50,USA
tt0005916,Posle smerti,1915,Drama,46,Russia
tt0005951,Rapsodia satanica,1917,"Drama, Fantasy, Horror",55,Italy
tt0005960,The Regeneration,1915,"Biography, Crime, Drama",72,USA
tt0006206,Les vampires,1915,"Action, Adventure, Crime",421,France
tt0006327,Young Romance,1915,Comedy,59,USA
tt0006333,"20,000 Leagues Under the Sea",1916,"Action, Adventure, Sci-Fi",105,USA
tt0006509,The Children in the House,1916,Drama,50,USA
tt0006517,Civilization,1990,Drama,85,USA
tt0006589,The Devil's Needle,1916,Drama,59,USA
tt0006617,Dödskyssen,1916,"Comedy, Crime, Drama",60,Sweden
tt0006688,Flirting with Fate,1916,"Adventure, Comedy",57,USA
tt0006731,Going Straight,1916,"Crime, Drama",60,USA
tt0006736,The Good Bad-Man,1916,"Romance, Western",50,USA
tt0006745,Gretchen the Greenhorn,1916,"Crime, Drama, Romance",58,USA
tt0006753,The Half-Breed,1916,Western,73,USA
tt0006780,Hell's Hinges,1916,"Romance, Western",64,USA
tt0006809,His Picture in the Papers,1916,Comedy,62,USA
tt0006826,Hoodoo Ann,1916,"Comedy, Drama, Romance",65,USA
tt0006864,Intolerance: Love's Struggle Throughout the Ages,1916,"Drama, History",163,USA
tt0006886,Judex,1916,"Adventure, Crime",300,France
tt0007047,The Matrimaniac,1916,"Comedy, Romance",46,USA
tt0007183,Pikovaya dama,1916,"Drama, Fantasy, Horror",63,Russia
tt0007257,Reggie Mixes In,1916,"Action, Comedy, Drama",50,USA
tt0007260,The Return of Draw Egan,1916,"Action, Adventure, Romance",50,USA
tt0007309,Schuhpalast Pinkus,1916,Comedy,45,Germany
tt0007338,Sherlock Holmes,1916,Mystery,116,USA
tt0007340,Shoes,1916,Drama,60,USA
tt0007361,Snow White,1916,"Fantasy, Romance",63,USA
tt0007367,The Social Secretary,1916,"Comedy, Drama",52,USA
tt0007522,Vingarne,1916,Drama,69,Sweden
tt0007558,Where Are My Children?,1916,Drama,62,USA
tt0007610,'49-'17,1917,"Drama, Western",61,USA
tt0007755,Bucking Broadway,1917,Western,53,USA
tt0007801,Cleopatra,1917,"Biography, Drama, History",125,USA
tt0007983,Furcht,1917,Horror,72,Germany
tt0008011,A Girl's Folly,1917,Comedy,65,USA
tt0008100,Himmelskibet,1918,"Adventure, Fantasy, Sci-Fi",97,Denmark
tt0008150,Joan the Woman,1916,"Adventure, Drama, History",138,USA
tt0008188,The Little American,1917,"Drama, Romance, War",80,USA
tt0008196,The Little Princess,1917,Drama,62,USA
tt0008279,Mater dolorosa,1917,Drama,80,France
tt0008309,A Modern Musketeer,1917,"Adventure, Comedy, Western",68,USA
tt0008395,Otets Sergiy,1918,"Biography, Drama, History",112,Russia
tt0008443,The Poor Little Rich Girl,1917,"Comedy, Drama, Family",65,USA
tt0008489,"Raffles, the Amateur Cracksman",1917,"Adventure, Crime, Romance",70,USA
tt0008499,Rebecca of Sunnybrook Farm,1917,"Comedy, Drama",78,USA
tt0008519,A Romance of the Redwoods,1917,"Adventure, Comedy, Drama",91,USA
tt0008536,Satana likuyushchiy,1917,Drama,87,Russia
tt0008634,Straight Shooting,1917,Western,57,USA
